Category,System,Subsystem
Amino Acids and Derivatives,Amino Acids and Derivatives - no subcategory,Amino acid racemase
Amino Acids and Derivatives,Amino Acids and Derivatives - no subcategory,Creatine and Creatinine Degradation
Amino Acids and Derivatives,Amino Acids and Derivatives - no subcategory,Cysteine Biosynthesis via O-phospho-L-serine
Amino Acids and Derivatives,Amino Acids and Derivatives - no subcategory,L-2-amino-thiazoline-4-carboxylic acid-Lcysteine conversion
Amino Acids and Derivatives,Amino Acids and Derivatives - no subcategory,Phosphonoalanine utilization
Amino Acids and Derivatives,"Alanine, serine, and glycine",Alanine biosynthesis
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine Biosynthesis
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine and Serine Utilization
Amino Acids and Derivatives,"Alanine, serine, and glycine",Glycine cleavage system
Amino Acids and Derivatives,"Alanine, serine, and glycine",L-serine dehydratase subunits
Amino Acids and Derivatives,"Alanine, serine, and glycine",Serine Biosynthesis
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Anaerobic Oxidative Degradation of L-Ornithine
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine Biosynthesis -- gjo
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine Biosynthesis extended
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine Deiminase Pathway
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Arginine and Ornithine Degradation
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Cyanophycin Metabolism
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Polyamine Metabolism
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Putrescine utilization pathways
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Urea carboxylase and Allophanate hydrolase cluster
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Urea decomposition
Amino Acids and Derivatives,"Arginine; urea cycle, polyamines",Urease subunits
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Aromatic amino acid degradation
